,acc,loss,corruption
inverse,0.3182,0.2423450172245502,inverse
translate,0.5962,0.13094819303154942,translate
canny_edges,0.7944,0.06614163854718211,canny_edges
line,0.8757,0.03573020151965314,line
elastic_transform,0.8885,0.03753328245524315,elastic_transform
stripe,0.8975,0.03452408976037995,stripe
rotate,0.9147,0.025984732290380622,rotate
gaussian_blur,0.9148,0.035956679331138705,gaussian_blur
pessimal_noise,0.93,0.020314008242613632,pessimal_noise
zigzag,0.9307,0.019887751367769668,zigzag
scale,0.9364,0.027972921421006353,scale
contrast,0.9402,0.13345120505094538,contrast
motion_blur,0.9493,0.025802345993928624,motion_blur
defocus_blur,0.9517,0.04564050943478945,defocus_blur
impulse_noise,0.952,0.01951974276099355,impulse_noise
glass_blur,0.9583,0.024577636019140495,glass_blur
dotted_line,0.9633,0.011746807223442006,dotted_line
gaussian_noise,0.9667,0.01636907265819607,gaussian_noise
spatter,0.9685,0.010861671060248037,spatter
pixelate,0.9724,0.013981260721571749,pixelate
shear,0.9757,0.009082655549328796,shear
zoom_blur,0.9806,0.009330618539615537,zoom_blur
shot_noise,0.9839,0.007332307144557125,shot_noise
snow,0.986,0.008290428860706751,snow
speckle_noise,0.986,0.0067577623312477875,speckle_noise
frost,0.987,0.013164827195648097,frost
saturate,0.9873,0.005763140958256552,saturate
fog,0.9888,0.04854099139869215,fog
brightness,0.9902,0.007875530775682994,brightness
jpeg_compression,0.9918,0.0036837603614520028,jpeg_compression
quantize,0.9923,0.002962390564302043,quantize
identity,0.9937,0.0028139684917870902,identity
