,model,mnist_c_variant,accuracy
0,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,line,0.8015
1,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,elastic_transform,0.8572
2,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,zigzag,0.8495
3,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,motion_blur,0.9395
4,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,gaussian_blur,0.9466
5,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,pessimal_noise,0.8831
6,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,impulse_noise,0.9553
7,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,defocus_blur,0.9564
8,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,spatter,0.9758
9,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,dotted_line,0.9466
10,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,gaussian_noise,0.9353
11,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,pixelate,0.9679
12,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,zoom_blur,0.9778
13,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,shot_noise,0.9815
14,VGG16_LCL_2022-04-07_112652__it18750_e3.pt,fog,0.833
15,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,line,0.8974
16,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,elastic_transform,0.8779
17,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,zigzag,0.9304
18,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,motion_blur,0.9431
19,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,gaussian_blur,0.8878
20,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,pessimal_noise,0.9426
21,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,impulse_noise,0.9693
22,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,defocus_blur,0.9361
23,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,spatter,0.9709
24,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,dotted_line,0.9754
25,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,gaussian_noise,0.9781
26,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,pixelate,0.9699
27,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,zoom_blur,0.9793
28,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,shot_noise,0.9838
29,VGG16_LCL_2022-04-07_112710__it12500_e2.pt,fog,0.9835
