,model,mnist_c_variant,accuracy
0,2022-04-23_201656_LCL5_d2__it15000_e3.pt,spatter,0.9703
1,2022-04-23_201656_LCL5_d2__it15000_e3.pt,shot_noise,0.9825
2,2022-04-23_201656_LCL5_d2__it15000_e3.pt,pessimal_noise,0.9618
3,2022-04-23_201656_LCL5_d2__it15000_e3.pt,identity,0.9927
4,2022-04-23_201656_LCL5_d2__it15000_e3.pt,dotted_line,0.9758
5,2022-04-23_201656_LCL5_d2__it15000_e3.pt,impulse_noise,0.9665
6,2022-04-23_201656_LCL5_d2__it15000_e3.pt,line,0.8977
7,2022-04-23_201656_LCL5_d2__it15000_e3.pt,gaussian_noise,0.9748
8,2022-04-23_201747_LCL5_d2__it23750_e4.pt,spatter,0.9694
9,2022-04-23_201747_LCL5_d2__it23750_e4.pt,shot_noise,0.9842
10,2022-04-23_201747_LCL5_d2__it23750_e4.pt,pessimal_noise,0.9696
11,2022-04-23_201747_LCL5_d2__it23750_e4.pt,identity,0.9921
12,2022-04-23_201747_LCL5_d2__it23750_e4.pt,dotted_line,0.9785
13,2022-04-23_201747_LCL5_d2__it23750_e4.pt,impulse_noise,0.9717
14,2022-04-23_201747_LCL5_d2__it23750_e4.pt,line,0.9058
15,2022-04-23_201747_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9775
16,2022-04-24_004459_LCL5_d2__it23750_e4.pt,spatter,0.9689
17,2022-04-24_004459_LCL5_d2__it23750_e4.pt,shot_noise,0.9829
18,2022-04-24_004459_LCL5_d2__it23750_e4.pt,pessimal_noise,0.964
19,2022-04-24_004459_LCL5_d2__it23750_e4.pt,identity,0.9929
20,2022-04-24_004459_LCL5_d2__it23750_e4.pt,dotted_line,0.977
21,2022-04-24_004459_LCL5_d2__it23750_e4.pt,impulse_noise,0.9675
22,2022-04-24_004459_LCL5_d2__it23750_e4.pt,line,0.9019
23,2022-04-24_004459_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9764
24,2022-04-24_004532_LCL5_d2__it10000_e2.pt,spatter,0.9721
25,2022-04-24_004532_LCL5_d2__it10000_e2.pt,shot_noise,0.984
26,2022-04-24_004532_LCL5_d2__it10000_e2.pt,pessimal_noise,0.9667
27,2022-04-24_004532_LCL5_d2__it10000_e2.pt,identity,0.9922
28,2022-04-24_004532_LCL5_d2__it10000_e2.pt,dotted_line,0.9771
29,2022-04-24_004532_LCL5_d2__it10000_e2.pt,impulse_noise,0.9712
30,2022-04-24_004532_LCL5_d2__it10000_e2.pt,line,0.9119
31,2022-04-24_004532_LCL5_d2__it10000_e2.pt,gaussian_noise,0.9782
32,2022-04-24_025236_LCL5_d2__it11250_e2.pt,spatter,0.9696
33,2022-04-24_025236_LCL5_d2__it11250_e2.pt,shot_noise,0.9846
34,2022-04-24_025236_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9675
35,2022-04-24_025236_LCL5_d2__it11250_e2.pt,identity,0.991
36,2022-04-24_025236_LCL5_d2__it11250_e2.pt,dotted_line,0.9772
37,2022-04-24_025236_LCL5_d2__it11250_e2.pt,impulse_noise,0.9697
38,2022-04-24_025236_LCL5_d2__it11250_e2.pt,line,0.9123
39,2022-04-24_025236_LCL5_d2__it11250_e2.pt,gaussian_noise,0.9776
