,model,mnist_c_variant,accuracy
0,VGG19_2022-04-04_175945__it15000_e3.pt,spatter,0.974
1,VGG19_2022-04-04_175945__it15000_e3.pt,shot_noise,0.9869
2,VGG19_2022-04-04_175945__it15000_e3.pt,pessimal_noise,0.958
3,VGG19_2022-04-04_175945__it15000_e3.pt,identity,0.9917
4,VGG19_2022-04-04_175945__it15000_e3.pt,dotted_line,0.9684
5,VGG19_2022-04-04_175945__it15000_e3.pt,impulse_noise,0.9593
6,VGG19_2022-04-04_175945__it15000_e3.pt,line,0.8918
7,VGG19_2022-04-04_175945__it15000_e3.pt,gaussian_noise,0.9723
8,VGG19_2022-04-04_183636__it13750_e2.pt,spatter,0.9774
9,VGG19_2022-04-04_183636__it13750_e2.pt,shot_noise,0.9862
10,VGG19_2022-04-04_183636__it13750_e2.pt,pessimal_noise,0.958
11,VGG19_2022-04-04_183636__it13750_e2.pt,identity,0.993
12,VGG19_2022-04-04_183636__it13750_e2.pt,dotted_line,0.975
13,VGG19_2022-04-04_183636__it13750_e2.pt,impulse_noise,0.9735
14,VGG19_2022-04-04_183636__it13750_e2.pt,line,0.8926
15,VGG19_2022-04-04_183636__it13750_e2.pt,gaussian_noise,0.9793
16,VGG19_2022-04-04_191333__it18750_e3.pt,spatter,0.9824
17,VGG19_2022-04-04_191333__it18750_e3.pt,shot_noise,0.9883
18,VGG19_2022-04-04_191333__it18750_e3.pt,pessimal_noise,0.9338
19,VGG19_2022-04-04_191333__it18750_e3.pt,identity,0.991
20,VGG19_2022-04-04_191333__it18750_e3.pt,dotted_line,0.9513
21,VGG19_2022-04-04_191333__it18750_e3.pt,impulse_noise,0.9652
22,VGG19_2022-04-04_191333__it18750_e3.pt,line,0.8298
23,VGG19_2022-04-04_191333__it18750_e3.pt,gaussian_noise,0.9584
