model,mnist_c_variant,accuracy,model_type
2022-07-04_212352,identity,0.983,TinyCNN_PreTrained
2022-07-04_212352,pixelate,0.911,TinyCNN_PreTrained
2022-07-04_212352,dotted_line,0.8222,TinyCNN_PreTrained
2022-07-04_212352,gaussian_blur,0.5563,TinyCNN_PreTrained
2022-07-04_212352,elastic_transform,0.7586,TinyCNN_PreTrained
2022-07-04_212352,jpeg_compression,0.9778,TinyCNN_PreTrained
2022-07-04_212352,speckle_noise,0.8285,TinyCNN_PreTrained
2022-07-04_212352,glass_blur,0.7677,TinyCNN_PreTrained
2022-07-04_212352,spatter,0.9594,TinyCNN_PreTrained
2022-07-04_212352,translate,0.4189,TinyCNN_PreTrained
2022-07-04_212352,fog,0.2903,TinyCNN_PreTrained
2022-07-04_212352,shear,0.9373,TinyCNN_PreTrained
2022-07-04_212352,scale,0.7735,TinyCNN_PreTrained
2022-07-04_212352,zigzag,0.6812,TinyCNN_PreTrained
2022-07-04_212352,defocus_blur,0.4356,TinyCNN_PreTrained
2022-07-04_212352,gaussian_noise,0.1213,TinyCNN_PreTrained
2022-07-04_212352,contrast,0.1235,TinyCNN_PreTrained
2022-07-04_212352,canny_edges,0.4586,TinyCNN_PreTrained
2022-07-04_212352,zoom_blur,0.9046,TinyCNN_PreTrained
2022-07-04_212352,line,0.779,TinyCNN_PreTrained
2022-07-04_212352,pessimal_noise,0.8172,TinyCNN_PreTrained
2022-07-04_212352,rotate,0.876,TinyCNN_PreTrained
2022-07-04_212352,brightness,0.2681,TinyCNN_PreTrained
2022-07-04_212352,shot_noise,0.776,TinyCNN_PreTrained
2022-07-04_212352,saturate,0.5886,TinyCNN_PreTrained
2022-07-04_212352,motion_blur,0.752,TinyCNN_PreTrained
2022-07-04_212352,snow,0.3528,TinyCNN_PreTrained
2022-07-04_212352,inverse,0.1173,TinyCNN_PreTrained
2022-07-04_212352,impulse_noise,0.2035,TinyCNN_PreTrained
2022-07-04_212352,stripe,0.3943,TinyCNN_PreTrained
2022-07-04_212352,quantize,0.9486,TinyCNN_PreTrained
2022-07-04_212352,frost,0.2518,TinyCNN_PreTrained
