model,mnist_c_variant,accuracy,model_type
2022-06-26_223026,pixelate,0.903,TinyLateralNet_OutputAdjusted
2022-06-26_223026,dotted_line,0.702,TinyLateralNet_OutputAdjusted
2022-06-26_223026,gaussian_blur,0.8786,TinyLateralNet_OutputAdjusted
2022-06-26_223026,elastic_transform,0.638,TinyLateralNet_OutputAdjusted
2022-06-26_223026,jpeg_compression,0.8843,TinyLateralNet_OutputAdjusted
2022-06-26_223026,speckle_noise,0.9049,TinyLateralNet_OutputAdjusted
2022-06-26_223026,identity,0.9175,TinyLateralNet_OutputAdjusted
2022-06-26_223026,glass_blur,0.8149,TinyLateralNet_OutputAdjusted
2022-06-26_223026,spatter,0.8656,TinyLateralNet_OutputAdjusted
2022-06-26_223026,translate,0.2632,TinyLateralNet_OutputAdjusted
2022-06-26_223026,fog,0.4937,TinyLateralNet_OutputAdjusted
2022-06-26_223026,shear,0.8454,TinyLateralNet_OutputAdjusted
2022-06-26_223026,scale,0.4889,TinyLateralNet_OutputAdjusted
2022-06-26_223026,zigzag,0.4527,TinyLateralNet_OutputAdjusted
2022-06-26_223026,defocus_blur,0.8657,TinyLateralNet_OutputAdjusted
2022-06-26_223026,gaussian_noise,0.5117,TinyLateralNet_OutputAdjusted
2022-06-26_223026,contrast,0.1778,TinyLateralNet_OutputAdjusted
2022-06-26_223026,canny_edges,0.5194,TinyLateralNet_OutputAdjusted
2022-06-26_223026,zoom_blur,0.8623,TinyLateralNet_OutputAdjusted
2022-06-26_223026,line,0.5887,TinyLateralNet_OutputAdjusted
2022-06-26_223026,pessimal_noise,0.7377,TinyLateralNet_OutputAdjusted
2022-06-26_223026,rotate,0.7317,TinyLateralNet_OutputAdjusted
2022-06-26_223026,brightness,0.5239,TinyLateralNet_OutputAdjusted
2022-06-26_223026,shot_noise,0.9,TinyLateralNet_OutputAdjusted
2022-06-26_223026,saturate,0.8437,TinyLateralNet_OutputAdjusted
2022-06-26_223026,motion_blur,0.7803,TinyLateralNet_OutputAdjusted
2022-06-26_223026,snow,0.6682,TinyLateralNet_OutputAdjusted
2022-06-26_223026,inverse,0.0856,TinyLateralNet_OutputAdjusted
2022-06-26_223026,impulse_noise,0.4212,TinyLateralNet_OutputAdjusted
2022-06-26_223026,stripe,0.3554,TinyLateralNet_OutputAdjusted
2022-06-26_223026,quantize,0.9079,TinyLateralNet_OutputAdjusted
2022-06-26_223026,frost,0.4701,TinyLateralNet_OutputAdjusted
