model,mnist_c_variant,accuracy,model_type
2022-07-01_140924,identity,0.9707,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,pixelate,0.9421,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,dotted_line,0.7793,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,gaussian_blur,0.8768,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,elastic_transform,0.6794,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,jpeg_compression,0.9688,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,speckle_noise,0.9654,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,glass_blur,0.9133,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,spatter,0.9375,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,translate,0.2907,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,fog,0.5513,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,shear,0.9222,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,scale,0.6287,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,zigzag,0.6765,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,defocus_blur,0.797,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,gaussian_noise,0.6076,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,contrast,0.1663,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,canny_edges,0.6445,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,zoom_blur,0.9055,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,line,0.7488,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,pessimal_noise,0.8609,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,rotate,0.8158,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,brightness,0.3285,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,shot_noise,0.9642,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,saturate,0.9089,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,motion_blur,0.7743,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,snow,0.6597,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,inverse,0.0977,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,impulse_noise,0.6012,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,stripe,0.5748,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,quantize,0.9638,TinyLateralNet__Optuna_BestRun
2022-07-01_140924,frost,0.3715,TinyLateralNet__Optuna_BestRun
