model,mnist_c_variant,accuracy,model_type
2022-07-05_110547,identity,0.9703,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,pixelate,0.9501,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,dotted_line,0.911,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,gaussian_blur,0.8477,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,elastic_transform,0.6888,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,jpeg_compression,0.957,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,speckle_noise,0.9628,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,glass_blur,0.9124,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,spatter,0.8645,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,translate,0.3522,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,fog,0.1428,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,shear,0.8865,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,scale,0.6187,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,zigzag,0.6664,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,defocus_blur,0.8421,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,gaussian_noise,0.7402,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,contrast,0.1923,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,canny_edges,0.6885,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,zoom_blur,0.8903,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,line,0.7261,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,pessimal_noise,0.8869,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,rotate,0.8091,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,brightness,0.1606,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,shot_noise,0.9579,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,saturate,0.3891,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,motion_blur,0.7468,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,snow,0.1928,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,inverse,0.0435,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,impulse_noise,0.9141,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,stripe,0.1106,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,quantize,0.9638,TinyLateralNet__Optuna_BestRun__d1
2022-07-05_110547,frost,0.1526,TinyLateralNet__Optuna_BestRun__d1
