model,mnist_c_variant,accuracy,model_type
2022-07-02_152447,identity,0.9827,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,pixelate,0.9359,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,dotted_line,0.9346,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,gaussian_blur,0.6505,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,elastic_transform,0.7839,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,jpeg_compression,0.976,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,speckle_noise,0.9421,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,glass_blur,0.8762,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,spatter,0.9641,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,translate,0.392,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,fog,0.3456,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,shear,0.9446,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,scale,0.7409,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,zigzag,0.7789,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,defocus_blur,0.6312,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,gaussian_noise,0.4554,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,contrast,0.1437,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,canny_edges,0.4795,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,zoom_blur,0.9451,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,line,0.8167,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,pessimal_noise,0.8534,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,rotate,0.8703,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,brightness,0.3513,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,shot_noise,0.9269,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,saturate,0.8975,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,motion_blur,0.8902,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,snow,0.5873,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,inverse,0.1231,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,impulse_noise,0.5442,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,stripe,0.5376,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,quantize,0.972,TinyCNN__Optuna_BestRun__FineTune
2022-07-02_152447,frost,0.3566,TinyCNN__Optuna_BestRun__FineTune
