,model,mnist_c_variant,accuracy
0,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,line,0.8511
1,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,elastic_transform,0.8543
2,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,zigzag,0.8723
3,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,motion_blur,0.9133
4,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,gaussian_blur,0.9078
5,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,pessimal_noise,0.9036
6,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,impulse_noise,0.9133
7,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,defocus_blur,0.9355
8,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,spatter,0.9503
9,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,dotted_line,0.9485
10,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,gaussian_noise,0.95
11,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,pixelate,0.9639
12,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,zoom_blur,0.9682
13,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,shot_noise,0.9753
14,VGG19_LCL_2022-04-05_155542__it12500_e2.pt,fog,0.9643
15,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,line,0.8727
16,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,elastic_transform,0.8946
17,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,zigzag,0.9199
18,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,motion_blur,0.9458
19,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,gaussian_blur,0.9192
20,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,pessimal_noise,0.9445
21,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,impulse_noise,0.9467
22,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,defocus_blur,0.9542
23,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,spatter,0.9726
24,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,dotted_line,0.9623
25,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,gaussian_noise,0.9674
26,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,pixelate,0.9699
27,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,zoom_blur,0.9823
28,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,shot_noise,0.9859
29,VGG19_LCL_2022-04-05_155601__it17500_e3.pt,fog,0.9746
30,VGG19_LCL_2022-04-05_205611__it18750_e3.pt,line,0.8453
31,VGG19_LCL_2022-04-05_205611__it18750_e3.pt,elastic_transform,0.8823
32,VGG19_LCL_2022-04-05_205611__it18750_e3.pt,zigzag,0.8842
33,VGG19_LCL_2022-04-05_205611__it18750_e3.pt,motion_blur,0.9623
34,VGG19_LCL_2022-04-05_205611__it18750_e3.pt,gaussian_blur,0.957
