,model,mnist_c_variant,accuracy
0,2022-04-19_194332_LCL5_d2__it16250_e3.pt,spatter,0.9472
1,2022-04-19_194332_LCL5_d2__it16250_e3.pt,shot_noise,0.9766
2,2022-04-19_194332_LCL5_d2__it16250_e3.pt,pessimal_noise,0.9324
3,2022-04-19_194332_LCL5_d2__it16250_e3.pt,identity,0.9905
4,2022-04-19_194332_LCL5_d2__it16250_e3.pt,dotted_line,0.9764
5,2022-04-19_194332_LCL5_d2__it16250_e3.pt,impulse_noise,0.9642
6,2022-04-19_194332_LCL5_d2__it16250_e3.pt,line,0.8867
7,2022-04-19_194332_LCL5_d2__it16250_e3.pt,gaussian_noise,0.9702
8,2022-04-19_194337_LCL5_d2__it21250_e4.pt,spatter,0.9573
9,2022-04-19_194337_LCL5_d2__it21250_e4.pt,shot_noise,0.978
10,2022-04-19_194337_LCL5_d2__it21250_e4.pt,pessimal_noise,0.923
11,2022-04-19_194337_LCL5_d2__it21250_e4.pt,identity,0.9906
12,2022-04-19_194337_LCL5_d2__it21250_e4.pt,dotted_line,0.9775
13,2022-04-19_194337_LCL5_d2__it21250_e4.pt,impulse_noise,0.9644
14,2022-04-19_194337_LCL5_d2__it21250_e4.pt,line,0.8946
15,2022-04-19_194337_LCL5_d2__it21250_e4.pt,gaussian_noise,0.9696
16,2022-04-19_194332_LCL5_d2__it5000_e1.pt,spatter,0.9432
17,2022-04-19_194332_LCL5_d2__it5000_e1.pt,shot_noise,0.9702
18,2022-04-19_194332_LCL5_d2__it5000_e1.pt,pessimal_noise,0.9451
19,2022-04-19_194332_LCL5_d2__it5000_e1.pt,identity,0.9847
20,2022-04-19_194332_LCL5_d2__it5000_e1.pt,dotted_line,0.9734
21,2022-04-19_194332_LCL5_d2__it5000_e1.pt,impulse_noise,0.96
22,2022-04-19_194332_LCL5_d2__it5000_e1.pt,line,0.9015
23,2022-04-19_194332_LCL5_d2__it5000_e1.pt,gaussian_noise,0.9636
