,model,mnist_c_variant,accuracy
0,2022-04-19_194332_LCL5_d2__it5000_e1.pt,spatter,0.9432
1,2022-04-19_194332_LCL5_d2__it5000_e1.pt,shot_noise,0.9702
2,2022-04-19_194332_LCL5_d2__it5000_e1.pt,pessimal_noise,0.9451
3,2022-04-19_194332_LCL5_d2__it5000_e1.pt,identity,0.9847
4,2022-04-19_194332_LCL5_d2__it5000_e1.pt,dotted_line,0.9734
5,2022-04-19_194332_LCL5_d2__it5000_e1.pt,impulse_noise,0.96
6,2022-04-19_194332_LCL5_d2__it5000_e1.pt,line,0.9015
7,2022-04-19_194332_LCL5_d2__it5000_e1.pt,gaussian_noise,0.9636
8,2022-04-19_194337_LCL5_d2__it12500_e2.pt,spatter,0.9569
9,2022-04-19_194337_LCL5_d2__it12500_e2.pt,shot_noise,0.9753
10,2022-04-19_194337_LCL5_d2__it12500_e2.pt,pessimal_noise,0.9252
11,2022-04-19_194337_LCL5_d2__it12500_e2.pt,identity,0.9884
12,2022-04-19_194337_LCL5_d2__it12500_e2.pt,dotted_line,0.9732
13,2022-04-19_194337_LCL5_d2__it12500_e2.pt,impulse_noise,0.9574
14,2022-04-19_194337_LCL5_d2__it12500_e2.pt,line,0.8837
15,2022-04-19_194337_LCL5_d2__it12500_e2.pt,gaussian_noise,0.9663
16,2022-04-19_194332_LCL5_d2__it5000_e1.pt,spatter,0.9432
17,2022-04-19_194332_LCL5_d2__it5000_e1.pt,shot_noise,0.9702
18,2022-04-19_194332_LCL5_d2__it5000_e1.pt,pessimal_noise,0.9451
19,2022-04-19_194332_LCL5_d2__it5000_e1.pt,identity,0.9847
20,2022-04-19_194332_LCL5_d2__it5000_e1.pt,dotted_line,0.9734
21,2022-04-19_194332_LCL5_d2__it5000_e1.pt,impulse_noise,0.96
22,2022-04-19_194332_LCL5_d2__it5000_e1.pt,line,0.9015
23,2022-04-19_194332_LCL5_d2__it5000_e1.pt,gaussian_noise,0.9636
