,model,mnist_c_variant,accuracy
0,2022-04-23_181034_LCL5_d2__it23750_e4.pt,spatter,0.9674
1,2022-04-23_181034_LCL5_d2__it23750_e4.pt,shot_noise,0.9845
2,2022-04-23_181034_LCL5_d2__it23750_e4.pt,pessimal_noise,0.9668
3,2022-04-23_181034_LCL5_d2__it23750_e4.pt,identity,0.9937
4,2022-04-23_181034_LCL5_d2__it23750_e4.pt,dotted_line,0.9735
5,2022-04-23_181034_LCL5_d2__it23750_e4.pt,impulse_noise,0.9657
6,2022-04-23_181034_LCL5_d2__it23750_e4.pt,line,0.8907
7,2022-04-23_181034_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9758
8,2022-04-23_181111_LCL5_d2__it12500_e2.pt,spatter,0.9629
9,2022-04-23_181111_LCL5_d2__it12500_e2.pt,shot_noise,0.9812
10,2022-04-23_181111_LCL5_d2__it12500_e2.pt,pessimal_noise,0.9582
11,2022-04-23_181111_LCL5_d2__it12500_e2.pt,identity,0.9914
12,2022-04-23_181111_LCL5_d2__it12500_e2.pt,dotted_line,0.9757
13,2022-04-23_181111_LCL5_d2__it12500_e2.pt,impulse_noise,0.9637
14,2022-04-23_181111_LCL5_d2__it12500_e2.pt,line,0.9053
15,2022-04-23_181111_LCL5_d2__it12500_e2.pt,gaussian_noise,0.9732
16,2022-04-23_201731_LCL5_d2__it11250_e2.pt,spatter,0.966
17,2022-04-23_201731_LCL5_d2__it11250_e2.pt,shot_noise,0.9834
18,2022-04-23_201731_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9531
19,2022-04-23_201731_LCL5_d2__it11250_e2.pt,identity,0.9918
20,2022-04-23_201731_LCL5_d2__it11250_e2.pt,dotted_line,0.9729
21,2022-04-23_201731_LCL5_d2__it11250_e2.pt,impulse_noise,0.9658
22,2022-04-23_201731_LCL5_d2__it11250_e2.pt,line,0.8936
23,2022-04-23_201731_LCL5_d2__it11250_e2.pt,gaussian_noise,0.9735
24,2022-04-24_071904_LCL5_d2__it22500_e4.pt,spatter,0.97
25,2022-04-24_071904_LCL5_d2__it22500_e4.pt,shot_noise,0.9832
26,2022-04-24_071904_LCL5_d2__it22500_e4.pt,pessimal_noise,0.9553
27,2022-04-24_071904_LCL5_d2__it22500_e4.pt,identity,0.9931
28,2022-04-24_071904_LCL5_d2__it22500_e4.pt,dotted_line,0.9766
29,2022-04-24_071904_LCL5_d2__it22500_e4.pt,impulse_noise,0.9651
30,2022-04-24_071904_LCL5_d2__it22500_e4.pt,line,0.897
31,2022-04-24_071904_LCL5_d2__it22500_e4.pt,gaussian_noise,0.9759
32,2022-04-24_071930_LCL5_d2__it16250_e3.pt,spatter,0.9661
33,2022-04-24_071930_LCL5_d2__it16250_e3.pt,shot_noise,0.9814
34,2022-04-24_071930_LCL5_d2__it16250_e3.pt,pessimal_noise,0.9622
35,2022-04-24_071930_LCL5_d2__it16250_e3.pt,identity,0.9915
36,2022-04-24_071930_LCL5_d2__it16250_e3.pt,dotted_line,0.9787
37,2022-04-24_071930_LCL5_d2__it16250_e3.pt,impulse_noise,0.9681
38,2022-04-24_071930_LCL5_d2__it16250_e3.pt,line,0.8993
39,2022-04-24_071930_LCL5_d2__it16250_e3.pt,gaussian_noise,0.9748
