mnist_c,accuracy_lcl,accuracy_vgg,accuracy_lcl16,std_lcl,std_vgg,std_lcl16
defocus_blur,0.9462,0.9449166666666667,0.9301666666666667,0.009148770409186156,0.012964785639055735,0.026947925090193236
dotted_line,0.9667166666666667,0.95385,0.9671500000000001,0.010996438817483916,0.01374579935834944,0.011321439837759132
elastic_transform,0.8793833333333333,0.8748,0.8680333333333333,0.013762763772827997,0.017432613114504683,0.014595021982397526
fog,0.9436166666666667,0.9436,0.9325833333333332,0.052210168230591485,0.05127159057411814,0.0761823711016313
gaussian_blur,0.9211666666666667,0.9339666666666666,0.89755,0.031323005390074994,0.024323788082177233,0.047306268083627145
gaussian_noise,0.9687833333333332,0.9586333333333333,0.9666,0.010477102016620176,0.013112843576687154,0.015840202018913757
impulse_noise,0.96175,0.9511,0.96405,0.026886409206139866,0.020150632744407843,0.009853476543839742
line,0.8728166666666667,0.8462999999999999,0.8665666666666666,0.029544029289632553,0.023583638396142366,0.03823436499625258
motion_blur,0.9493333333333333,0.9443166666666666,0.9287833333333334,0.01895960618437702,0.01627395669979081,0.022932633225747696
pessimal_noise,0.9319166666666666,0.9077166666666666,0.9344666666666667,0.02758763611958561,0.030881024378518685,0.02746602750065374
pixelate,0.97345,0.9712666666666667,0.9622833333333333,0.006573507435152116,0.009099816847973754,0.012795845680011414
shot_noise,0.9852166666666666,0.9779666666666667,0.9804666666666666,0.005090546794467872,0.009404396135141628,0.00398530634539763
spatter,0.9740500000000001,0.9682000000000001,0.9671333333333333,0.012830549481608342,0.013329966241517664,0.011476875300649845
zigzag,0.9074333333333334,0.8840333333333333,0.9059833333333334,0.029015007611004846,0.03117868930321907,0.031135665508652082
zoom_blur,0.9783,0.9773166666666667,0.9769833333333334,0.005321653878260039,0.005302609420527495,0.0038943120915852004
