model,mnist_c_variant,accuracy,experiment
2022-04-19_194505_LCL5_d2__it11250_e2.pt,spatter,0.9584,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,shot_noise,0.9797,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9418,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,identity,0.9909,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,dotted_line,0.9787,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,impulse_noise,0.9699,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,line,0.9097,lcl@5
2022-04-19_194505_LCL5_d2__it11250_e2.pt,gaussian_noise,0.974,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,spatter,0.9472,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,shot_noise,0.9766,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,pessimal_noise,0.9324,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,identity,0.9905,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,dotted_line,0.9764,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,impulse_noise,0.9642,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,line,0.8867,lcl@5
2022-04-19_194332_LCL5_d2__it16250_e3.pt,gaussian_noise,0.9702,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,spatter,0.9573,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,shot_noise,0.978,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,pessimal_noise,0.923,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,identity,0.9906,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,dotted_line,0.9775,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,impulse_noise,0.9644,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,line,0.8946,lcl@5
2022-04-19_194337_LCL5_d2__it21250_e4.pt,gaussian_noise,0.9696,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,spatter,0.9432,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,shot_noise,0.9702,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,pessimal_noise,0.9451,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,identity,0.9847,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,dotted_line,0.9734,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,impulse_noise,0.96,lcl@5
2022-04-19_194332_LCL5_d2__it5000_e1.pt,line,0.9015,lcl@5
