model,mnist_c_variant,accuracy,experiment
2022-04-23_201656_LCL5_d2__it15000_e3.pt,pixelate,0.9746,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,dotted_line,0.9758,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,gaussian_blur,0.8909,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,elastic_transform,0.8876,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,jpeg_compression,0.9906,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,speckle_noise,0.9845,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,identity,0.9927,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,glass_blur,0.9589,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,spatter,0.9703,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,translate,0.5751,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,fog,0.9886,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,shear,0.9763,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,scale,0.9562,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,zigzag,0.9305,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,defocus_blur,0.9521,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,gaussian_noise,0.9748,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,contrast,0.9896,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,canny_edges,0.7099,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,zoom_blur,0.9811,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,line,0.8977,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,pessimal_noise,0.9618,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,rotate,0.9179,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,brightness,0.9899,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,shot_noise,0.9825,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,saturate,0.9854,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,motion_blur,0.9412,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,snow,0.9846,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,inverse,0.2745,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,impulse_noise,0.9665,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,stripe,0.8958,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,quantize,0.9919,vgg19r_lcl5
2022-04-23_201656_LCL5_d2__it15000_e3.pt,frost,0.9871,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,pixelate,0.9761,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,dotted_line,0.9785,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,gaussian_blur,0.8864,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,elastic_transform,0.894,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,jpeg_compression,0.9903,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,speckle_noise,0.9853,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,identity,0.9921,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,glass_blur,0.9622,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,spatter,0.9694,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,translate,0.6042,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,fog,0.9869,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,shear,0.9769,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,scale,0.963,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,zigzag,0.9346,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,defocus_blur,0.9539,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9775,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,contrast,0.9884,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,canny_edges,0.711,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,zoom_blur,0.9813,vgg19r_lcl5
2022-04-23_201747_LCL5_d2__it23750_e4.pt,line,0.9058,vgg19r_lcl5
