,model,model_key,mnist_c_variant,accuracy
0,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,pixelate,0.9737
1,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,dotted_line,0.9806
2,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,gaussian_blur,0.8877
3,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,elastic_transform,0.8816
4,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,jpeg_compression,0.9901
5,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,speckle_noise,0.9842
6,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,identity,0.9918
7,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,glass_blur,0.9621
8,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,spatter,0.9722
9,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,translate,0.5686
10,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,fog,0.9872
11,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,shear,0.9734
12,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,scale,0.9494
13,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,zigzag,0.9511
14,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,defocus_blur,0.9525
15,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,gaussian_noise,0.9777
16,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,contrast,0.9876
17,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,canny_edges,0.7256
18,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,zoom_blur,0.9794
19,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,line,0.9219
20,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,pessimal_noise,0.967
21,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,rotate,0.9181
22,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,brightness,0.9889
23,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,shot_noise,0.9842
24,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,saturate,0.9837
25,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,motion_blur,0.9451
26,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,snow,0.9838
27,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,inverse,0.2816
28,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,impulse_noise,0.974
29,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,stripe,0.9073
30,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,quantize,0.9902
31,2022-06-14_210747_VGG19_Full__it3750_e0.pt,vgg_full,frost,0.9866
32,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,pixelate,0.9787
33,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,dotted_line,0.98
34,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,gaussian_blur,0.9021
35,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,elastic_transform,0.9062
36,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,jpeg_compression,0.991
37,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,speckle_noise,0.9856
38,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,identity,0.9928
39,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,glass_blur,0.9661
40,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,spatter,0.9717
41,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,translate,0.6424
42,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,fog,0.9865
43,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,shear,0.9817
44,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,scale,0.9636
45,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,zigzag,0.9419
46,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,defocus_blur,0.9536
47,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,gaussian_noise,0.9781
48,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,contrast,0.9887
49,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,canny_edges,0.7023
50,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,zoom_blur,0.9861
51,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,line,0.9111
52,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,pessimal_noise,0.967
53,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,rotate,0.9231
54,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,brightness,0.9898
55,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,shot_noise,0.9839
56,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,saturate,0.9862
57,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,motion_blur,0.9501
58,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,snow,0.985
59,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,inverse,0.2498
60,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,impulse_noise,0.9752
61,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,stripe,0.9146
62,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,quantize,0.9924
63,2022-06-14_210704_VGG19_Full__it21250_e4.pt,vgg_full,frost,0.987
64,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,pixelate,0.9772
65,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,dotted_line,0.9778
66,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,gaussian_blur,0.8828
67,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,elastic_transform,0.9058
68,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,jpeg_compression,0.9917
69,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,speckle_noise,0.9853
70,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,identity,0.9936
71,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,glass_blur,0.9613
72,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,spatter,0.9722
73,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,translate,0.6396
74,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,fog,0.9875
75,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,shear,0.9813
76,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,scale,0.9656
77,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,zigzag,0.9352
78,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,defocus_blur,0.9537
79,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,gaussian_noise,0.9777
80,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,contrast,0.9894
81,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,canny_edges,0.6784
82,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,zoom_blur,0.9843
83,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,line,0.9027
84,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,pessimal_noise,0.9673
85,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,rotate,0.93
86,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,brightness,0.9897
87,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,shot_noise,0.9847
88,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,saturate,0.9863
89,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,motion_blur,0.9528
90,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,snow,0.9841
91,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,inverse,0.258
92,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,impulse_noise,0.9708
93,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,stripe,0.9074
94,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,quantize,0.9931
95,2022-06-14_210621_VGG19_Full__it17500_e3.pt,vgg_full,frost,0.987
96,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,pixelate,0.9762
97,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,dotted_line,0.9805
98,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,gaussian_blur,0.8875
99,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,elastic_transform,0.9104
100,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,jpeg_compression,0.9922
101,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,speckle_noise,0.9866
102,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,identity,0.9935
103,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,glass_blur,0.9637
104,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,spatter,0.9711
105,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,translate,0.6564
106,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,fog,0.988
107,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,shear,0.9811
108,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,scale,0.9661
109,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,zigzag,0.9406
110,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,defocus_blur,0.9501
111,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,gaussian_noise,0.9794
112,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,contrast,0.9898
113,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,canny_edges,0.7072
114,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,zoom_blur,0.9865
115,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,line,0.9159
116,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,pessimal_noise,0.9668
117,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,rotate,0.9254
118,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,brightness,0.9913
119,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,shot_noise,0.9857
120,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,saturate,0.9868
121,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,motion_blur,0.9531
122,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,snow,0.9853
123,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,inverse,0.2279
124,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,impulse_noise,0.9747
125,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,stripe,0.9105
126,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,quantize,0.9932
127,2022-06-14_190734_VGG19_Full__it27500_e5.pt,vgg_full,frost,0.9882
128,2022-06-14_190720_VGG19_Full__it20000_e4.pt,vgg_full,pixelate,0.9766
