,model,mnist_c_variant,accuracy
0,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,line,0.9026
1,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,elastic_transform,0.8849
2,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,zigzag,0.9302
3,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,motion_blur,0.9241
4,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,gaussian_blur,0.8719
5,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,pessimal_noise,0.9561
6,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,impulse_noise,0.9628
7,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,defocus_blur,0.9254
8,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,spatter,0.9569
9,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,dotted_line,0.9728
10,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,gaussian_noise,0.9752
11,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,pixelate,0.9586
12,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,zoom_blur,0.9776
13,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,shot_noise,0.9792
14,VGG16_LCL_2022-04-08_013150__it18750_e3.pt,fog,0.9843
15,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,line,0.8828
16,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,elastic_transform,0.8455
17,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,zigzag,0.9065
18,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,motion_blur,0.9049
19,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,gaussian_blur,0.8261
20,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,pessimal_noise,0.9542
21,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,impulse_noise,0.953
22,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,defocus_blur,0.8871
23,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,spatter,0.9556
24,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,dotted_line,0.9617
25,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,gaussian_noise,0.9665
26,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,pixelate,0.9424
27,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,zoom_blur,0.9693
28,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,shot_noise,0.9745
29,VGG16_LCL_2022-04-08_020051__it11250_e2.pt,fog,0.9747
