,model,mnist_c_variant,accuracy
0,2022-04-23_201656_LCL5_d2__it15000_e3.pt,pixelate,0.9746
1,2022-04-23_201656_LCL5_d2__it15000_e3.pt,dotted_line,0.9758
2,2022-04-23_201656_LCL5_d2__it15000_e3.pt,gaussian_blur,0.8909
3,2022-04-23_201656_LCL5_d2__it15000_e3.pt,elastic_transform,0.8876
4,2022-04-23_201656_LCL5_d2__it15000_e3.pt,jpeg_compression,0.9906
5,2022-04-23_201656_LCL5_d2__it15000_e3.pt,speckle_noise,0.9845
6,2022-04-23_201656_LCL5_d2__it15000_e3.pt,identity,0.9927
7,2022-04-23_201656_LCL5_d2__it15000_e3.pt,glass_blur,0.9589
8,2022-04-23_201656_LCL5_d2__it15000_e3.pt,spatter,0.9703
9,2022-04-23_201656_LCL5_d2__it15000_e3.pt,translate,0.5751
10,2022-04-23_201656_LCL5_d2__it15000_e3.pt,fog,0.9886
11,2022-04-23_201656_LCL5_d2__it15000_e3.pt,shear,0.9763
12,2022-04-23_201656_LCL5_d2__it15000_e3.pt,scale,0.9562
13,2022-04-23_201656_LCL5_d2__it15000_e3.pt,zigzag,0.9305
14,2022-04-23_201656_LCL5_d2__it15000_e3.pt,defocus_blur,0.9521
15,2022-04-23_201656_LCL5_d2__it15000_e3.pt,gaussian_noise,0.9748
16,2022-04-23_201656_LCL5_d2__it15000_e3.pt,contrast,0.9896
17,2022-04-23_201656_LCL5_d2__it15000_e3.pt,canny_edges,0.7099
18,2022-04-23_201656_LCL5_d2__it15000_e3.pt,zoom_blur,0.9811
19,2022-04-23_201656_LCL5_d2__it15000_e3.pt,line,0.8977
20,2022-04-23_201656_LCL5_d2__it15000_e3.pt,pessimal_noise,0.9618
21,2022-04-23_201656_LCL5_d2__it15000_e3.pt,rotate,0.9179
22,2022-04-23_201656_LCL5_d2__it15000_e3.pt,brightness,0.9899
23,2022-04-23_201656_LCL5_d2__it15000_e3.pt,shot_noise,0.9825
24,2022-04-23_201656_LCL5_d2__it15000_e3.pt,saturate,0.9854
25,2022-04-23_201656_LCL5_d2__it15000_e3.pt,motion_blur,0.9412
26,2022-04-23_201656_LCL5_d2__it15000_e3.pt,snow,0.9846
27,2022-04-23_201656_LCL5_d2__it15000_e3.pt,inverse,0.2745
28,2022-04-23_201656_LCL5_d2__it15000_e3.pt,impulse_noise,0.9665
29,2022-04-23_201656_LCL5_d2__it15000_e3.pt,stripe,0.8958
30,2022-04-23_201656_LCL5_d2__it15000_e3.pt,quantize,0.9919
31,2022-04-23_201656_LCL5_d2__it15000_e3.pt,frost,0.9871
32,2022-04-23_201747_LCL5_d2__it23750_e4.pt,pixelate,0.9761
33,2022-04-23_201747_LCL5_d2__it23750_e4.pt,dotted_line,0.9785
34,2022-04-23_201747_LCL5_d2__it23750_e4.pt,gaussian_blur,0.8864
35,2022-04-23_201747_LCL5_d2__it23750_e4.pt,elastic_transform,0.894
36,2022-04-23_201747_LCL5_d2__it23750_e4.pt,jpeg_compression,0.9903
37,2022-04-23_201747_LCL5_d2__it23750_e4.pt,speckle_noise,0.9853
38,2022-04-23_201747_LCL5_d2__it23750_e4.pt,identity,0.9921
39,2022-04-23_201747_LCL5_d2__it23750_e4.pt,glass_blur,0.9622
40,2022-04-23_201747_LCL5_d2__it23750_e4.pt,spatter,0.9694
41,2022-04-23_201747_LCL5_d2__it23750_e4.pt,translate,0.6042
42,2022-04-23_201747_LCL5_d2__it23750_e4.pt,fog,0.9869
43,2022-04-23_201747_LCL5_d2__it23750_e4.pt,shear,0.9769
44,2022-04-23_201747_LCL5_d2__it23750_e4.pt,scale,0.963
45,2022-04-23_201747_LCL5_d2__it23750_e4.pt,zigzag,0.9346
46,2022-04-23_201747_LCL5_d2__it23750_e4.pt,defocus_blur,0.9539
47,2022-04-23_201747_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9775
48,2022-04-23_201747_LCL5_d2__it23750_e4.pt,contrast,0.9884
49,2022-04-23_201747_LCL5_d2__it23750_e4.pt,canny_edges,0.711
50,2022-04-23_201747_LCL5_d2__it23750_e4.pt,zoom_blur,0.9813
51,2022-04-23_201747_LCL5_d2__it23750_e4.pt,line,0.9058
52,2022-04-23_201747_LCL5_d2__it23750_e4.pt,pessimal_noise,0.9696
53,2022-04-23_201747_LCL5_d2__it23750_e4.pt,rotate,0.9223
54,2022-04-23_201747_LCL5_d2__it23750_e4.pt,brightness,0.9899
55,2022-04-23_201747_LCL5_d2__it23750_e4.pt,shot_noise,0.9842
56,2022-04-23_201747_LCL5_d2__it23750_e4.pt,saturate,0.9853
57,2022-04-23_201747_LCL5_d2__it23750_e4.pt,motion_blur,0.9459
58,2022-04-23_201747_LCL5_d2__it23750_e4.pt,snow,0.9845
59,2022-04-23_201747_LCL5_d2__it23750_e4.pt,inverse,0.2567
60,2022-04-23_201747_LCL5_d2__it23750_e4.pt,impulse_noise,0.9717
61,2022-04-23_201747_LCL5_d2__it23750_e4.pt,stripe,0.8883
62,2022-04-23_201747_LCL5_d2__it23750_e4.pt,quantize,0.9912
63,2022-04-23_201747_LCL5_d2__it23750_e4.pt,frost,0.9873
64,2022-04-24_004459_LCL5_d2__it23750_e4.pt,pixelate,0.9752
65,2022-04-24_004459_LCL5_d2__it23750_e4.pt,dotted_line,0.977
66,2022-04-24_004459_LCL5_d2__it23750_e4.pt,gaussian_blur,0.885
67,2022-04-24_004459_LCL5_d2__it23750_e4.pt,elastic_transform,0.8964
68,2022-04-24_004459_LCL5_d2__it23750_e4.pt,jpeg_compression,0.9912
69,2022-04-24_004459_LCL5_d2__it23750_e4.pt,speckle_noise,0.9848
70,2022-04-24_004459_LCL5_d2__it23750_e4.pt,identity,0.9929
71,2022-04-24_004459_LCL5_d2__it23750_e4.pt,glass_blur,0.9574
72,2022-04-24_004459_LCL5_d2__it23750_e4.pt,spatter,0.9689
73,2022-04-24_004459_LCL5_d2__it23750_e4.pt,translate,0.6038
74,2022-04-24_004459_LCL5_d2__it23750_e4.pt,fog,0.9872
75,2022-04-24_004459_LCL5_d2__it23750_e4.pt,shear,0.9775
76,2022-04-24_004459_LCL5_d2__it23750_e4.pt,scale,0.9573
77,2022-04-24_004459_LCL5_d2__it23750_e4.pt,zigzag,0.9277
78,2022-04-24_004459_LCL5_d2__it23750_e4.pt,defocus_blur,0.9525
79,2022-04-24_004459_LCL5_d2__it23750_e4.pt,gaussian_noise,0.9764
80,2022-04-24_004459_LCL5_d2__it23750_e4.pt,contrast,0.9894
81,2022-04-24_004459_LCL5_d2__it23750_e4.pt,canny_edges,0.6769
82,2022-04-24_004459_LCL5_d2__it23750_e4.pt,zoom_blur,0.9841
83,2022-04-24_004459_LCL5_d2__it23750_e4.pt,line,0.9019
84,2022-04-24_004459_LCL5_d2__it23750_e4.pt,pessimal_noise,0.964
85,2022-04-24_004459_LCL5_d2__it23750_e4.pt,rotate,0.9189
86,2022-04-24_004459_LCL5_d2__it23750_e4.pt,brightness,0.99
87,2022-04-24_004459_LCL5_d2__it23750_e4.pt,shot_noise,0.9829
88,2022-04-24_004459_LCL5_d2__it23750_e4.pt,saturate,0.9856
89,2022-04-24_004459_LCL5_d2__it23750_e4.pt,motion_blur,0.9502
90,2022-04-24_004459_LCL5_d2__it23750_e4.pt,snow,0.9835
91,2022-04-24_004459_LCL5_d2__it23750_e4.pt,inverse,0.2418
92,2022-04-24_004459_LCL5_d2__it23750_e4.pt,impulse_noise,0.9675
93,2022-04-24_004459_LCL5_d2__it23750_e4.pt,stripe,0.8931
94,2022-04-24_004459_LCL5_d2__it23750_e4.pt,quantize,0.9917
95,2022-04-24_004459_LCL5_d2__it23750_e4.pt,frost,0.9854
96,2022-04-24_004532_LCL5_d2__it10000_e2.pt,pixelate,0.9766
97,2022-04-24_004532_LCL5_d2__it10000_e2.pt,dotted_line,0.9771
98,2022-04-24_004532_LCL5_d2__it10000_e2.pt,gaussian_blur,0.8851
99,2022-04-24_004532_LCL5_d2__it10000_e2.pt,elastic_transform,0.8834
100,2022-04-24_004532_LCL5_d2__it10000_e2.pt,jpeg_compression,0.9912
101,2022-04-24_004532_LCL5_d2__it10000_e2.pt,speckle_noise,0.9855
102,2022-04-24_004532_LCL5_d2__it10000_e2.pt,identity,0.9922
103,2022-04-24_004532_LCL5_d2__it10000_e2.pt,glass_blur,0.9623
104,2022-04-24_004532_LCL5_d2__it10000_e2.pt,spatter,0.9721
105,2022-04-24_004532_LCL5_d2__it10000_e2.pt,translate,0.5627
106,2022-04-24_004532_LCL5_d2__it10000_e2.pt,fog,0.9886
107,2022-04-24_004532_LCL5_d2__it10000_e2.pt,shear,0.9755
108,2022-04-24_004532_LCL5_d2__it10000_e2.pt,scale,0.9496
109,2022-04-24_004532_LCL5_d2__it10000_e2.pt,zigzag,0.9344
110,2022-04-24_004532_LCL5_d2__it10000_e2.pt,defocus_blur,0.9535
111,2022-04-24_004532_LCL5_d2__it10000_e2.pt,gaussian_noise,0.9782
112,2022-04-24_004532_LCL5_d2__it10000_e2.pt,contrast,0.9891
113,2022-04-24_004532_LCL5_d2__it10000_e2.pt,canny_edges,0.7246
114,2022-04-24_004532_LCL5_d2__it10000_e2.pt,zoom_blur,0.9809
115,2022-04-24_004532_LCL5_d2__it10000_e2.pt,line,0.9119
116,2022-04-24_004532_LCL5_d2__it10000_e2.pt,pessimal_noise,0.9667
117,2022-04-24_004532_LCL5_d2__it10000_e2.pt,rotate,0.9148
118,2022-04-24_004532_LCL5_d2__it10000_e2.pt,brightness,0.9901
119,2022-04-24_004532_LCL5_d2__it10000_e2.pt,shot_noise,0.984
120,2022-04-24_004532_LCL5_d2__it10000_e2.pt,saturate,0.9849
121,2022-04-24_004532_LCL5_d2__it10000_e2.pt,motion_blur,0.949
122,2022-04-24_004532_LCL5_d2__it10000_e2.pt,snow,0.9851
123,2022-04-24_004532_LCL5_d2__it10000_e2.pt,inverse,0.2592
124,2022-04-24_004532_LCL5_d2__it10000_e2.pt,impulse_noise,0.9712
125,2022-04-24_004532_LCL5_d2__it10000_e2.pt,stripe,0.8912
126,2022-04-24_004532_LCL5_d2__it10000_e2.pt,quantize,0.992
127,2022-04-24_004532_LCL5_d2__it10000_e2.pt,frost,0.9872
128,2022-04-24_025236_LCL5_d2__it11250_e2.pt,pixelate,0.9727
129,2022-04-24_025236_LCL5_d2__it11250_e2.pt,dotted_line,0.9772
130,2022-04-24_025236_LCL5_d2__it11250_e2.pt,gaussian_blur,0.8801
131,2022-04-24_025236_LCL5_d2__it11250_e2.pt,elastic_transform,0.8818
132,2022-04-24_025236_LCL5_d2__it11250_e2.pt,jpeg_compression,0.9893
133,2022-04-24_025236_LCL5_d2__it11250_e2.pt,speckle_noise,0.9839
134,2022-04-24_025236_LCL5_d2__it11250_e2.pt,identity,0.991
135,2022-04-24_025236_LCL5_d2__it11250_e2.pt,glass_blur,0.9581
136,2022-04-24_025236_LCL5_d2__it11250_e2.pt,spatter,0.9696
137,2022-04-24_025236_LCL5_d2__it11250_e2.pt,translate,0.5669
138,2022-04-24_025236_LCL5_d2__it11250_e2.pt,fog,0.9863
139,2022-04-24_025236_LCL5_d2__it11250_e2.pt,shear,0.9735
140,2022-04-24_025236_LCL5_d2__it11250_e2.pt,scale,0.958
141,2022-04-24_025236_LCL5_d2__it11250_e2.pt,zigzag,0.9423
142,2022-04-24_025236_LCL5_d2__it11250_e2.pt,defocus_blur,0.9491
143,2022-04-24_025236_LCL5_d2__it11250_e2.pt,gaussian_noise,0.9776
144,2022-04-24_025236_LCL5_d2__it11250_e2.pt,contrast,0.988
145,2022-04-24_025236_LCL5_d2__it11250_e2.pt,canny_edges,0.7454
146,2022-04-24_025236_LCL5_d2__it11250_e2.pt,zoom_blur,0.9789
147,2022-04-24_025236_LCL5_d2__it11250_e2.pt,line,0.9123
148,2022-04-24_025236_LCL5_d2__it11250_e2.pt,pessimal_noise,0.9675
149,2022-04-24_025236_LCL5_d2__it11250_e2.pt,rotate,0.9158
150,2022-04-24_025236_LCL5_d2__it11250_e2.pt,brightness,0.9886
151,2022-04-24_025236_LCL5_d2__it11250_e2.pt,shot_noise,0.9846
152,2022-04-24_025236_LCL5_d2__it11250_e2.pt,saturate,0.9847
153,2022-04-24_025236_LCL5_d2__it11250_e2.pt,motion_blur,0.945
154,2022-04-24_025236_LCL5_d2__it11250_e2.pt,snow,0.983
155,2022-04-24_025236_LCL5_d2__it11250_e2.pt,inverse,0.2882
156,2022-04-24_025236_LCL5_d2__it11250_e2.pt,impulse_noise,0.9697
157,2022-04-24_025236_LCL5_d2__it11250_e2.pt,stripe,0.8977
158,2022-04-24_025236_LCL5_d2__it11250_e2.pt,quantize,0.9895
159,2022-04-24_025236_LCL5_d2__it11250_e2.pt,frost,0.9869
