,model,model_key,mnist_c_variant,accuracy
0,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,pixelate,0.9764
1,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,dotted_line,0.9788
2,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,gaussian_blur,0.8881
3,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,elastic_transform,0.8961
4,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,jpeg_compression,0.9905
5,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,speckle_noise,0.9858
6,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,identity,0.9928
7,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,glass_blur,0.9611
8,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,spatter,0.9708
9,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,translate,0.6057
10,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,fog,0.9865
11,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,shear,0.9783
12,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,scale,0.9575
13,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,zigzag,0.9301
14,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,defocus_blur,0.9526
15,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,gaussian_noise,0.9767
16,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,contrast,0.9883
17,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,canny_edges,0.6772
18,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,zoom_blur,0.984
19,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,line,0.9049
20,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,pessimal_noise,0.9668
21,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,rotate,0.9184
22,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,brightness,0.9886
23,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,shot_noise,0.9837
24,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,saturate,0.9844
25,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,motion_blur,0.9492
26,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,snow,0.9834
27,2022-05-03_173059_LCL5_d2__it23750_e4.pt,vgg19r_lcl__random_k_change,inverse,0.2856
