,model,model_key,mnist_c_variant,accuracy
0,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pixelate,0.9767
1,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,dotted_line,0.9806
2,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_blur,0.879
3,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,elastic_transform,0.8939
4,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,jpeg_compression,0.9913
5,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,speckle_noise,0.986
6,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,identity,0.9929
7,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,glass_blur,0.9642
8,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,spatter,0.9717
9,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,translate,0.6079
10,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,fog,0.9893
11,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shear,0.979
12,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,scale,0.9541
13,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zigzag,0.9421
14,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,defocus_blur,0.9519
15,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_noise,0.9799
16,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,contrast,0.9903
17,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,canny_edges,0.7226
18,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zoom_blur,0.9834
19,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,line,0.9154
20,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pessimal_noise,0.9685
21,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,rotate,0.9256
22,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,brightness,0.9905
23,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shot_noise,0.9861
24,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,saturate,0.9871
25,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,motion_blur,0.9477
26,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,snow,0.9853
27,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,inverse,0.2889
28,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,impulse_noise,0.9746
29,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,stripe,0.9055
30,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,quantize,0.9918
31,2022-05-04_111224_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,frost,0.9884
32,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pixelate,0.975
33,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,dotted_line,0.9802
34,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_blur,0.8754
35,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,elastic_transform,0.8958
36,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,jpeg_compression,0.9907
37,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,speckle_noise,0.9859
38,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,identity,0.9925
39,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,glass_blur,0.9616
40,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,spatter,0.9723
41,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,translate,0.6093
42,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,fog,0.9889
43,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shear,0.9802
44,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,scale,0.9649
45,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zigzag,0.9436
46,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,defocus_blur,0.9482
47,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,gaussian_noise,0.9786
48,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,contrast,0.9896
49,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,canny_edges,0.7264
50,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,zoom_blur,0.9827
51,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,line,0.9151
52,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,pessimal_noise,0.9683
53,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,rotate,0.9235
54,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,brightness,0.9901
55,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,shot_noise,0.9858
56,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,saturate,0.9859
57,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,motion_blur,0.9482
58,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,snow,0.9846
59,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,inverse,0.3061
60,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,impulse_noise,0.9731
61,2022-05-04_104338_LCL5_d2__it23750_e4.pt,vgg19r_lcl__fc_only,stripe,0.9124
