,model,mnist_c_variant,accuracy
0,VGG19_2022-04-04_160910__it8750_e1.pt,line,0.8333
1,VGG19_2022-04-04_160910__it8750_e1.pt,elastic_transform,0.8533
2,VGG19_2022-04-04_160910__it8750_e1.pt,zigzag,0.8499
3,VGG19_2022-04-04_160910__it8750_e1.pt,motion_blur,0.9167
4,VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_blur,0.9647
5,VGG19_2022-04-04_160910__it8750_e1.pt,pessimal_noise,0.8755
6,VGG19_2022-04-04_160910__it8750_e1.pt,impulse_noise,0.9175
7,VGG19_2022-04-04_160910__it8750_e1.pt,defocus_blur,0.9526
8,VGG19_2022-04-04_160910__it8750_e1.pt,spatter,0.9442
9,VGG19_2022-04-04_160910__it8750_e1.pt,dotted_line,0.9403
10,VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_noise,0.9392
11,VGG19_2022-04-04_160910__it8750_e1.pt,pixelate,0.959
12,VGG19_2022-04-04_160910__it8750_e1.pt,zoom_blur,0.9691
13,VGG19_2022-04-04_160910__it8750_e1.pt,shot_noise,0.9595
14,VGG19_2022-04-04_160910__it8750_e1.pt,fog,0.9238
15,VGG19_2022-04-04_164603__it18750_e3.pt,line,0.8552
16,VGG19_2022-04-04_164603__it18750_e3.pt,elastic_transform,0.8948
17,VGG19_2022-04-04_164603__it18750_e3.pt,zigzag,0.9127
18,VGG19_2022-04-04_164603__it18750_e3.pt,motion_blur,0.9533
19,VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_blur,0.9551
20,VGG19_2022-04-04_164603__it18750_e3.pt,pessimal_noise,0.9028
21,VGG19_2022-04-04_164603__it18750_e3.pt,impulse_noise,0.953
22,VGG19_2022-04-04_164603__it18750_e3.pt,defocus_blur,0.9631
23,VGG19_2022-04-04_164603__it18750_e3.pt,spatter,0.9775
24,VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569
25,VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_noise,0.9588
26,VGG19_2022-04-04_164603__it18750_e3.pt,pixelate,0.9864
27,VGG19_2022-04-04_164603__it18750_e3.pt,zoom_blur,0.9848
28,VGG19_2022-04-04_164603__it18750_e3.pt,shot_noise,0.9857
29,VGG19_2022-04-04_164603__it18750_e3.pt,fog,0.989
30,VGG19_2022-04-04_172253__it11250_e2.pt,line,0.8599
31,VGG19_2022-04-04_172253__it11250_e2.pt,elastic_transform,0.8625
32,VGG19_2022-04-04_172253__it11250_e2.pt,zigzag,0.9043
33,VGG19_2022-04-04_172253__it11250_e2.pt,motion_blur,0.9569
34,VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_blur,0.8965
35,VGG19_2022-04-04_172253__it11250_e2.pt,pessimal_noise,0.9327
36,VGG19_2022-04-04_172253__it11250_e2.pt,impulse_noise,0.9764
37,VGG19_2022-04-04_172253__it11250_e2.pt,defocus_blur,0.9396
38,VGG19_2022-04-04_172253__it11250_e2.pt,spatter,0.9806
39,VGG19_2022-04-04_172253__it11250_e2.pt,dotted_line,0.9698
40,VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_noise,0.9729
41,VGG19_2022-04-04_172253__it11250_e2.pt,pixelate,0.9751
42,VGG19_2022-04-04_172253__it11250_e2.pt,zoom_blur,0.9796
43,VGG19_2022-04-04_172253__it11250_e2.pt,shot_noise,0.983
44,VGG19_2022-04-04_172253__it11250_e2.pt,fog,0.9123
45,VGG19_2022-04-04_175945__it12500_e2.pt,line,0.8567
46,VGG19_2022-04-04_175945__it12500_e2.pt,elastic_transform,0.8736
47,VGG19_2022-04-04_175945__it12500_e2.pt,zigzag,0.8908
48,VGG19_2022-04-04_175945__it12500_e2.pt,motion_blur,0.9326
49,VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_blur,0.9217
50,VGG19_2022-04-04_175945__it12500_e2.pt,pessimal_noise,0.9228
51,VGG19_2022-04-04_175945__it12500_e2.pt,impulse_noise,0.9405
52,VGG19_2022-04-04_175945__it12500_e2.pt,defocus_blur,0.9337
53,VGG19_2022-04-04_175945__it12500_e2.pt,spatter,0.9645
54,VGG19_2022-04-04_175945__it12500_e2.pt,dotted_line,0.9513
55,VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_noise,0.9588
56,VGG19_2022-04-04_175945__it12500_e2.pt,pixelate,0.9707
57,VGG19_2022-04-04_175945__it12500_e2.pt,zoom_blur,0.9757
58,VGG19_2022-04-04_175945__it12500_e2.pt,shot_noise,0.9808
59,VGG19_2022-04-04_175945__it12500_e2.pt,fog,0.9843
60,VGG19_2022-04-04_183636__it16250_e3.pt,line,0.8683
61,VGG19_2022-04-04_183636__it16250_e3.pt,elastic_transform,0.8963
62,VGG19_2022-04-04_183636__it16250_e3.pt,zigzag,0.9063
63,VGG19_2022-04-04_183636__it16250_e3.pt,motion_blur,0.9569
64,VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_blur,0.9306
65,VGG19_2022-04-04_183636__it16250_e3.pt,pessimal_noise,0.944
66,VGG19_2022-04-04_183636__it16250_e3.pt,impulse_noise,0.9602
67,VGG19_2022-04-04_183636__it16250_e3.pt,defocus_blur,0.9515
68,VGG19_2022-04-04_183636__it16250_e3.pt,spatter,0.9667
69,VGG19_2022-04-04_183636__it16250_e3.pt,dotted_line,0.968
70,VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_noise,0.9726
71,VGG19_2022-04-04_183636__it16250_e3.pt,pixelate,0.9676
72,VGG19_2022-04-04_183636__it16250_e3.pt,zoom_blur,0.9795
73,VGG19_2022-04-04_183636__it16250_e3.pt,shot_noise,0.978
74,VGG19_2022-04-04_183636__it16250_e3.pt,fog,0.9871
75,VGG19_2022-04-04_191333__it10000_e2.pt,line,0.8044
76,VGG19_2022-04-04_191333__it10000_e2.pt,elastic_transform,0.8683
77,VGG19_2022-04-04_191333__it10000_e2.pt,zigzag,0.8402
78,VGG19_2022-04-04_191333__it10000_e2.pt,motion_blur,0.9495
79,VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_blur,0.9352
80,VGG19_2022-04-04_191333__it10000_e2.pt,pessimal_noise,0.8685
81,VGG19_2022-04-04_191333__it10000_e2.pt,impulse_noise,0.959
82,VGG19_2022-04-04_191333__it10000_e2.pt,defocus_blur,0.929
83,VGG19_2022-04-04_191333__it10000_e2.pt,spatter,0.9757
84,VGG19_2022-04-04_191333__it10000_e2.pt,dotted_line,0.9368
85,VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_noise,0.9495
86,VGG19_2022-04-04_191333__it10000_e2.pt,pixelate,0.9688
87,VGG19_2022-04-04_191333__it10000_e2.pt,zoom_blur,0.9752
88,VGG19_2022-04-04_191333__it10000_e2.pt,shot_noise,0.9808
89,VGG19_2022-04-04_191333__it10000_e2.pt,fog,0.8651
