,model,mnist_c_variant,accuracy
0,VGG19_2022-04-04_160910__it17500_e3.pt,spatter,0.9692
1,VGG19_2022-04-04_160910__it17500_e3.pt,shot_noise,0.9844
2,VGG19_2022-04-04_160910__it17500_e3.pt,pessimal_noise,0.9414
3,VGG19_2022-04-04_160910__it17500_e3.pt,identity,0.9929
4,VGG19_2022-04-04_160910__it17500_e3.pt,dotted_line,0.9546
5,VGG19_2022-04-04_160910__it17500_e3.pt,impulse_noise,0.9549
6,VGG19_2022-04-04_160910__it17500_e3.pt,line,0.8531
7,VGG19_2022-04-04_160910__it17500_e3.pt,gaussian_noise,0.9703
8,VGG19_2022-04-04_172253__it16250_e3.pt,spatter,0.9797
9,VGG19_2022-04-04_172253__it16250_e3.pt,shot_noise,0.9842
10,VGG19_2022-04-04_172253__it16250_e3.pt,pessimal_noise,0.8987
11,VGG19_2022-04-04_172253__it16250_e3.pt,identity,0.9907
12,VGG19_2022-04-04_172253__it16250_e3.pt,dotted_line,0.955
13,VGG19_2022-04-04_172253__it16250_e3.pt,impulse_noise,0.9608
14,VGG19_2022-04-04_172253__it16250_e3.pt,line,0.8352
15,VGG19_2022-04-04_172253__it16250_e3.pt,gaussian_noise,0.9529
16,VGG19_2022-04-04_164603__it18750_e3.pt,spatter,0.9775
17,VGG19_2022-04-04_164603__it18750_e3.pt,shot_noise,0.9857
18,VGG19_2022-04-04_164603__it18750_e3.pt,pessimal_noise,0.9028
19,VGG19_2022-04-04_164603__it18750_e3.pt,identity,0.9928
20,VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569
21,VGG19_2022-04-04_164603__it18750_e3.pt,impulse_noise,0.953
22,VGG19_2022-04-04_164603__it18750_e3.pt,line,0.8552
23,VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_noise,0.9588
