,model,mnist_c_variant,accuracy
0,VGG19_2022-04-04_160910__it8750_e1.pt,pixelate,0.959
1,VGG19_2022-04-04_160910__it8750_e1.pt,dotted_line,0.9403
2,VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_blur,0.9647
3,VGG19_2022-04-04_160910__it8750_e1.pt,elastic_transform,0.8533
4,VGG19_2022-04-04_160910__it8750_e1.pt,jpeg_compression,0.9751
5,VGG19_2022-04-04_160910__it8750_e1.pt,speckle_noise,0.9597
6,VGG19_2022-04-04_160910__it8750_e1.pt,identity,0.9771
7,VGG19_2022-04-04_160910__it8750_e1.pt,glass_blur,0.9412
8,VGG19_2022-04-04_160910__it8750_e1.pt,spatter,0.9442
9,VGG19_2022-04-04_160910__it8750_e1.pt,translate,0.5272
10,VGG19_2022-04-04_160910__it8750_e1.pt,fog,0.9238
11,VGG19_2022-04-04_160910__it8750_e1.pt,shear,0.9485
12,VGG19_2022-04-04_160910__it8750_e1.pt,scale,0.8975
13,VGG19_2022-04-04_160910__it8750_e1.pt,zigzag,0.8499
14,VGG19_2022-04-04_160910__it8750_e1.pt,defocus_blur,0.9526
15,VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_noise,0.9392
16,VGG19_2022-04-04_160910__it8750_e1.pt,contrast,0.9591
17,VGG19_2022-04-04_160910__it8750_e1.pt,canny_edges,0.6213
18,VGG19_2022-04-04_160910__it8750_e1.pt,zoom_blur,0.9691
19,VGG19_2022-04-04_160910__it8750_e1.pt,line,0.8333
20,VGG19_2022-04-04_160910__it8750_e1.pt,pessimal_noise,0.8755
21,VGG19_2022-04-04_160910__it8750_e1.pt,rotate,0.875
22,VGG19_2022-04-04_160910__it8750_e1.pt,brightness,0.9555
23,VGG19_2022-04-04_160910__it8750_e1.pt,shot_noise,0.9595
24,VGG19_2022-04-04_160910__it8750_e1.pt,saturate,0.9533
25,VGG19_2022-04-04_160910__it8750_e1.pt,motion_blur,0.9167
26,VGG19_2022-04-04_160910__it8750_e1.pt,snow,0.9518
27,VGG19_2022-04-04_160910__it8750_e1.pt,inverse,0.2285
28,VGG19_2022-04-04_160910__it8750_e1.pt,impulse_noise,0.9175
29,VGG19_2022-04-04_160910__it8750_e1.pt,stripe,0.8498
30,VGG19_2022-04-04_160910__it8750_e1.pt,quantize,0.973
31,VGG19_2022-04-04_160910__it8750_e1.pt,frost,0.9408
32,VGG19_2022-04-04_164603__it18750_e3.pt,pixelate,0.9864
33,VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569
34,VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_blur,0.9551
35,VGG19_2022-04-04_164603__it18750_e3.pt,elastic_transform,0.8948
36,VGG19_2022-04-04_164603__it18750_e3.pt,jpeg_compression,0.992
37,VGG19_2022-04-04_164603__it18750_e3.pt,speckle_noise,0.9867
38,VGG19_2022-04-04_164603__it18750_e3.pt,identity,0.9928
39,VGG19_2022-04-04_164603__it18750_e3.pt,glass_blur,0.9676
40,VGG19_2022-04-04_164603__it18750_e3.pt,spatter,0.9775
41,VGG19_2022-04-04_164603__it18750_e3.pt,translate,0.5987
42,VGG19_2022-04-04_164603__it18750_e3.pt,fog,0.989
43,VGG19_2022-04-04_164603__it18750_e3.pt,shear,0.98
44,VGG19_2022-04-04_164603__it18750_e3.pt,scale,0.9617
45,VGG19_2022-04-04_164603__it18750_e3.pt,zigzag,0.9127
46,VGG19_2022-04-04_164603__it18750_e3.pt,defocus_blur,0.9631
47,VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_noise,0.9588
48,VGG19_2022-04-04_164603__it18750_e3.pt,contrast,0.6335
49,VGG19_2022-04-04_164603__it18750_e3.pt,canny_edges,0.7199
50,VGG19_2022-04-04_164603__it18750_e3.pt,zoom_blur,0.9848
51,VGG19_2022-04-04_164603__it18750_e3.pt,line,0.8552
52,VGG19_2022-04-04_164603__it18750_e3.pt,pessimal_noise,0.9028
53,VGG19_2022-04-04_164603__it18750_e3.pt,rotate,0.9305
54,VGG19_2022-04-04_164603__it18750_e3.pt,brightness,0.9889
55,VGG19_2022-04-04_164603__it18750_e3.pt,shot_noise,0.9857
56,VGG19_2022-04-04_164603__it18750_e3.pt,saturate,0.988
57,VGG19_2022-04-04_164603__it18750_e3.pt,motion_blur,0.9533
58,VGG19_2022-04-04_164603__it18750_e3.pt,snow,0.9816
59,VGG19_2022-04-04_164603__it18750_e3.pt,inverse,0.2394
60,VGG19_2022-04-04_164603__it18750_e3.pt,impulse_noise,0.953
61,VGG19_2022-04-04_164603__it18750_e3.pt,stripe,0.8973
62,VGG19_2022-04-04_164603__it18750_e3.pt,quantize,0.9919
63,VGG19_2022-04-04_164603__it18750_e3.pt,frost,0.983
64,VGG19_2022-04-04_172253__it11250_e2.pt,pixelate,0.9751
65,VGG19_2022-04-04_172253__it11250_e2.pt,dotted_line,0.9698
66,VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_blur,0.8965
67,VGG19_2022-04-04_172253__it11250_e2.pt,elastic_transform,0.8625
68,VGG19_2022-04-04_172253__it11250_e2.pt,jpeg_compression,0.9863
69,VGG19_2022-04-04_172253__it11250_e2.pt,speckle_noise,0.9859
70,VGG19_2022-04-04_172253__it11250_e2.pt,identity,0.9883
71,VGG19_2022-04-04_172253__it11250_e2.pt,glass_blur,0.9537
72,VGG19_2022-04-04_172253__it11250_e2.pt,spatter,0.9806
73,VGG19_2022-04-04_172253__it11250_e2.pt,translate,0.531
74,VGG19_2022-04-04_172253__it11250_e2.pt,fog,0.9123
75,VGG19_2022-04-04_172253__it11250_e2.pt,shear,0.9723
76,VGG19_2022-04-04_172253__it11250_e2.pt,scale,0.9501
77,VGG19_2022-04-04_172253__it11250_e2.pt,zigzag,0.9043
78,VGG19_2022-04-04_172253__it11250_e2.pt,defocus_blur,0.9396
79,VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_noise,0.9729
80,VGG19_2022-04-04_172253__it11250_e2.pt,contrast,0.1179
81,VGG19_2022-04-04_172253__it11250_e2.pt,canny_edges,0.7873
82,VGG19_2022-04-04_172253__it11250_e2.pt,zoom_blur,0.9796
83,VGG19_2022-04-04_172253__it11250_e2.pt,line,0.8599
84,VGG19_2022-04-04_172253__it11250_e2.pt,pessimal_noise,0.9327
85,VGG19_2022-04-04_172253__it11250_e2.pt,rotate,0.9202
86,VGG19_2022-04-04_172253__it11250_e2.pt,brightness,0.9799
87,VGG19_2022-04-04_172253__it11250_e2.pt,shot_noise,0.983
88,VGG19_2022-04-04_172253__it11250_e2.pt,saturate,0.9807
89,VGG19_2022-04-04_172253__it11250_e2.pt,motion_blur,0.9569
90,VGG19_2022-04-04_172253__it11250_e2.pt,snow,0.9045
91,VGG19_2022-04-04_172253__it11250_e2.pt,inverse,0.3676
92,VGG19_2022-04-04_172253__it11250_e2.pt,impulse_noise,0.9764
93,VGG19_2022-04-04_172253__it11250_e2.pt,stripe,0.8867
94,VGG19_2022-04-04_172253__it11250_e2.pt,quantize,0.9869
95,VGG19_2022-04-04_172253__it11250_e2.pt,frost,0.8022
96,VGG19_2022-04-04_175945__it12500_e2.pt,pixelate,0.9707
97,VGG19_2022-04-04_175945__it12500_e2.pt,dotted_line,0.9513
98,VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_blur,0.9217
99,VGG19_2022-04-04_175945__it12500_e2.pt,elastic_transform,0.8736
100,VGG19_2022-04-04_175945__it12500_e2.pt,jpeg_compression,0.9887
101,VGG19_2022-04-04_175945__it12500_e2.pt,speckle_noise,0.9825
102,VGG19_2022-04-04_175945__it12500_e2.pt,identity,0.9897
103,VGG19_2022-04-04_175945__it12500_e2.pt,glass_blur,0.9511
104,VGG19_2022-04-04_175945__it12500_e2.pt,spatter,0.9645
105,VGG19_2022-04-04_175945__it12500_e2.pt,translate,0.5597
