,epoch,iterations,test_acc,test_loss,dropout,learning_rate,model
2022-04-02_030457__it17999_e3.pt,3,17999,0.9886,0.003267768047473364,0.2,0.0001,2022-04-02_030457
2022-04-01_193339__it5999_e1.pt,1,5999,0.9887,0.003550871272095811,0.2,0.003,2022-04-01_193339
2022-04-01_181849__it11999_e2.pt,2,11999,0.9914,0.002487248076940295,0.0,0.003,2022-04-01_181849
2022-04-01_181849__it15999_e3.pt,3,15999,0.9931,0.0023634620902844186,0.0,0.003,2022-04-01_181849
2022-04-02_030457__it7999_e1.pt,1,7999,0.9832,0.005192960550310567,0.2,0.0001,2022-04-02_030457
2022-04-02_030457__it5999_e1.pt,1,5999,0.9737,0.008447983020804083,0.2,0.0001,2022-04-02_030457
2022-04-01_204931__it5999_e1.pt,1,5999,0.9863,0.004490144198420655,0.5,0.003,2022-04-01_204931
2022-04-01_204931__it15999_e3.pt,3,15999,0.9931,0.002213658746350819,0.5,0.003,2022-04-01_204931
2022-04-02_003615__it15999_e3.pt,3,15999,0.101,0.2306429675579067,0.2,0.03,2022-04-02_003615
2022-04-02_014927__it11999_e2.pt,2,11999,0.9885,0.0035797293439228657,0.2,0.001,2022-04-02_014927
2022-04-01_181849__it5999_e1.pt,1,5999,0.9826,0.005598310298992512,0.0,0.003,2022-04-01_181849
2022-04-01_193339__it15999_e3.pt,3,15999,0.9923,0.002436164386662359,0.2,0.003,2022-04-01_193339
2022-04-01_232146__it11999_e2.pt,2,11999,0.9878,0.004033677469573452,0.2,0.0003,2022-04-01_232146
2022-04-02_003615__it19999_e3.pt,3,19999,0.0958,0.23123236634731278,0.2,0.03,2022-04-02_003615
2022-04-02_014927__it9999_e1.pt,1,9999,0.991,0.0028183286513747546,0.2,0.001,2022-04-02_014927
2022-04-02_003615__it11999_e2.pt,2,11999,0.101,0.23049954845905354,0.2,0.03,2022-04-02_003615
2022-04-02_030457__it15999_e3.pt,3,15999,0.9877,0.0036510268764039983,0.2,0.0001,2022-04-02_030457
2022-04-01_220539__it7999_e1.pt,1,7999,0.9892,0.0033125668876552773,0.2,0.003,2022-04-01_220539
2022-04-02_014927__it7999_e1.pt,1,7999,0.9898,0.0029395834762928185,0.2,0.001,2022-04-02_014927
2022-04-01_181849__it19999_e3.pt,3,19999,0.99,0.003197601914237385,0.0,0.003,2022-04-01_181849
2022-04-01_220539__it13999_e2.pt,2,13999,0.9905,0.002852184019454942,0.2,0.003,2022-04-01_220539
2022-04-02_014927__it5999_e1.pt,1,5999,0.9848,0.0048831715923802225,0.2,0.001,2022-04-02_014927
2022-04-02_003615__it9999_e1.pt,1,9999,0.0958,0.23073487343788127,0.2,0.03,2022-04-02_003615
2022-04-02_003615__it7999_e1.pt,1,7999,0.1135,0.23066700184345282,0.2,0.03,2022-04-02_003615
2022-04-01_232146__it13999_e2.pt,2,13999,0.9871,0.003777513648562669,0.2,0.0003,2022-04-01_232146
2022-04-01_220539__it5999_e1.pt,1,5999,0.9869,0.004053099877301665,0.2,0.003,2022-04-01_220539
2022-04-02_014927__it17999_e3.pt,3,17999,0.9915,0.0028122092394454574,0.2,0.001,2022-04-02_014927
2022-04-01_204931__it7999_e1.pt,1,7999,0.9915,0.002724958320686105,0.5,0.003,2022-04-01_204931
