"iteration","VGG19_2022-04-04_175945 - _step","VGG19_2022-04-04_175945 - _step__MIN","VGG19_2022-04-04_175945 - _step__MAX","VGG19_2022-04-04_175945 - test_acc","VGG19_2022-04-04_175945 - test_acc__MIN","VGG19_2022-04-04_175945 - test_acc__MAX","VGG19_2022-04-04_175945 - test_loss","VGG19_2022-04-04_175945 - test_loss__MIN","VGG19_2022-04-04_175945 - test_loss__MAX","VGG19_2022-04-04_175945 - val_acc","VGG19_2022-04-04_175945 - val_acc__MIN","VGG19_2022-04-04_175945 - val_acc__MAX","VGG19_2022-04-04_175945 - val_loss","VGG19_2022-04-04_175945 - val_loss__MIN","VGG19_2022-04-04_175945 - val_loss__MAX","VGG19_2022-04-04_183636 - _step","VGG19_2022-04-04_183636 - _step__MIN","VGG19_2022-04-04_183636 - _step__MAX","VGG19_2022-04-04_183636 - test_acc","VGG19_2022-04-04_183636 - test_acc__MIN","VGG19_2022-04-04_183636 - test_acc__MAX","VGG19_2022-04-04_183636 - test_loss","VGG19_2022-04-04_183636 - test_loss__MIN","VGG19_2022-04-04_183636 - test_loss__MAX","VGG19_2022-04-04_183636 - val_acc","VGG19_2022-04-04_183636 - val_acc__MIN","VGG19_2022-04-04_183636 - val_acc__MAX","VGG19_2022-04-04_183636 - val_loss","VGG19_2022-04-04_183636 - val_loss__MIN","VGG19_2022-04-04_183636 - val_loss__MAX","VGG19_2022-04-04_191333 - _step","VGG19_2022-04-04_191333 - _step__MIN","VGG19_2022-04-04_191333 - _step__MAX","VGG19_2022-04-04_191333 - test_acc","VGG19_2022-04-04_191333 - test_acc__MIN","VGG19_2022-04-04_191333 - test_acc__MAX","VGG19_2022-04-04_191333 - test_loss","VGG19_2022-04-04_191333 - test_loss__MIN","VGG19_2022-04-04_191333 - test_loss__MAX","VGG19_2022-04-04_191333 - val_acc","VGG19_2022-04-04_191333 - val_acc__MIN","VGG19_2022-04-04_191333 - val_acc__MAX","VGG19_2022-04-04_191333 - val_loss","VGG19_2022-04-04_191333 - val_loss__MIN","VGG19_2022-04-04_191333 - val_loss__MAX","VGG19_2022-04-04_160910 - _step","VGG19_2022-04-04_160910 - _step__MIN","VGG19_2022-04-04_160910 - _step__MAX","VGG19_2022-04-04_160910 - test_acc","VGG19_2022-04-04_160910 - test_acc__MIN","VGG19_2022-04-04_160910 - test_acc__MAX","VGG19_2022-04-04_160910 - test_loss","VGG19_2022-04-04_160910 - test_loss__MIN","VGG19_2022-04-04_160910 - test_loss__MAX","VGG19_2022-04-04_160910 - val_acc","VGG19_2022-04-04_160910 - val_acc__MIN","VGG19_2022-04-04_160910 - val_acc__MAX","VGG19_2022-04-04_160910 - val_loss","VGG19_2022-04-04_160910 - val_loss__MIN","VGG19_2022-04-04_160910 - val_loss__MAX","VGG19_2022-04-04_172253 - _step","VGG19_2022-04-04_172253 - _step__MIN","VGG19_2022-04-04_172253 - _step__MAX","VGG19_2022-04-04_172253 - test_acc","VGG19_2022-04-04_172253 - test_acc__MIN","VGG19_2022-04-04_172253 - test_acc__MAX","VGG19_2022-04-04_172253 - test_loss","VGG19_2022-04-04_172253 - test_loss__MIN","VGG19_2022-04-04_172253 - test_loss__MAX","VGG19_2022-04-04_172253 - val_acc","VGG19_2022-04-04_172253 - val_acc__MIN","VGG19_2022-04-04_172253 - val_acc__MAX","VGG19_2022-04-04_172253 - val_loss","VGG19_2022-04-04_172253 - val_loss__MIN","VGG19_2022-04-04_172253 - val_loss__MAX","VGG19_2022-04-04_164603 - _step","VGG19_2022-04-04_164603 - _step__MIN","VGG19_2022-04-04_164603 - _step__MAX","VGG19_2022-04-04_164603 - test_acc","VGG19_2022-04-04_164603 - test_acc__MIN","VGG19_2022-04-04_164603 - test_acc__MAX","VGG19_2022-04-04_164603 - test_loss","VGG19_2022-04-04_164603 - test_loss__MIN","VGG19_2022-04-04_164603 - test_loss__MAX","VGG19_2022-04-04_164603 - val_acc","VGG19_2022-04-04_164603 - val_acc__MIN","VGG19_2022-04-04_164603 - val_acc__MAX","VGG19_2022-04-04_164603 - val_loss","VGG19_2022-04-04_164603 - val_loss__MIN","VGG19_2022-04-04_164603 - val_loss__MAX"
"1250","5","5","5","0.8176","0.8176","0.8176","0.06328309796313986","0.06328309796313986","0.06328309796313986","0.9541","0.9541","0.9541","0.016381038099847523","0.016381038099847523","0.016381038099847523","5","5","5","0.8589","0.8589","0.8589","0.05482902597311924","0.05482902597311924","0.05482902597311924","0.9679","0.9679","0.9679","0.011471637812492743","0.011471637812492743","0.011471637812492743","5","5","5","0.8188","0.8188","0.8188","0.06260795975679068","0.06260795975679068","0.06260795975679068","0.9561","0.9561","0.9561","0.014503238327919828","0.014503238327919828","0.014503238327919828","5","5","5","0.8809","0.8809","0.8809","0.037131746125337664","0.037131746125337664","0.037131746125337664","0.9544","0.9544","0.9544","0.014765190782208821","0.014765190782208821","0.014765190782208821","5","5","5","0.8407","0.8407","0.8407","0.05371185496875551","0.05371185496875551","0.05371185496875551","0.9555","0.9555","0.9555","0.015469741354431235","0.015469741354431235","0.015469741354431235","5","5","5","0.7939","0.7939","0.7939","0.07521917839974626","0.07521917839974626","0.07521917839974626","0.9525","0.9525","0.9525","0.014884937828342645","0.014884937828342645","0.014884937828342645"
"2500","10","10","10","0.8539","0.8539","0.8539","0.0466059953040211","0.0466059953040211","0.0466059953040211","0.9769","0.9769","0.9769","0.007547347872350647","0.007547347872350647","0.007547347872350647","10","10","10","0.875","0.875","0.875","0.04055486722175263","0.04055486722175263","0.04055486722175263","0.9801","0.9801","0.9801","0.006599952532648613","0.006599952532648613","0.006599952532648613","10","10","10","0.8381","0.8381","0.8381","0.055403620644152454","0.055403620644152454","0.055403620644152454","0.9789","0.9789","0.9789","0.007066753637383956","0.007066753637383956","0.007066753637383956","10","10","10","0.8439","0.8439","0.8439","0.05359119207598267","0.05359119207598267","0.05359119207598267","0.9752","0.9752","0.9752","0.0075237460005562785","0.0075237460005562785","0.0075237460005562785","10","10","10","0.8153","0.8153","0.8153","0.06622780748055083","0.06622780748055083","0.06622780748055083","0.9762","0.9762","0.9762","0.007938234875071802","0.007938234875071802","0.007938234875071802","10","10","10","0.8756","0.8756","0.8756","0.03938104920699265","0.03938104920699265","0.03938104920699265","0.9757","0.9757","0.9757","0.007870561006134076","0.007870561006134076","0.007870561006134076"
"3750","15","15","15","0.8692","0.8692","0.8692","0.04041313243541522","0.04041313243541522","0.04041313243541522","0.9804","0.9804","0.9804","0.006284344142864565","0.006284344142864565","0.006284344142864565","15","15","15","0.8976","0.8976","0.8976","0.03021295971265646","0.03021295971265646","0.03021295971265646","0.9801","0.9801","0.9801","0.006387080740451343","0.006387080740451343","0.006387080740451343","15","15","15","0.8063","0.8063","0.8063","0.07408045477238485","0.07408045477238485","0.07408045477238485","0.9823","0.9823","0.9823","0.006147349311155281","0.006147349311155281","0.006147349311155281","15","15","15","0.8872","0.8872","0.8872","0.03380149669535465","0.03380149669535465","0.03380149669535465","0.9788","0.9788","0.9788","0.007411152289190786","0.007411152289190786","0.007411152289190786","15","15","15","0.7785","0.7785","0.7785","0.09308229958713046","0.09308229958713046","0.09308229958713046","0.9767","0.9767","0.9767","0.007705941309458291","0.007705941309458291","0.007705941309458291","15","15","15","0.8699","0.8699","0.8699","0.04582030360496799","0.04582030360496799","0.04582030360496799","0.9822","0.9822","0.9822","0.006233994649464787","0.006233994649464787","0.006233994649464787"
"5000","21","21","21","0.8528","0.8528","0.8528","0.044914549341110985","0.044914549341110985","0.044914549341110985","0.9838","0.9838","0.9838","0.005343024435286872","0.005343024435286872","0.005343024435286872","21","21","21","0.9172","0.9172","0.9172","0.028311358358249338","0.028311358358249338","0.028311358358249338","0.9858","0.9858","0.9858","0.005176956747111719","0.005176956747111719","0.005176956747111719","21","21","21","0.8678","0.8678","0.8678","0.04549258147728685","0.04549258147728685","0.04549258147728685","0.9808","0.9808","0.9808","0.007033799478370933","0.007033799478370933","0.007033799478370933","21","21","21","0.8583","0.8583","0.8583","0.050843055262126284","0.050843055262126284","0.050843055262126284","0.9818","0.9818","0.9818","0.0065204360756476445","0.0065204360756476445","0.0065204360756476445","21","21","21","0.8089","0.8089","0.8089","0.08720846504586809","0.08720846504586809","0.08720846504586809","0.9837","0.9837","0.9837","0.0054826879997561155","0.0054826879997561155","0.0054826879997561155","21","21","21","0.8037","0.8037","0.8037","0.06476617315867912","0.06476617315867912","0.06476617315867912","0.9839","0.9839","0.9839","0.005525215005094649","0.005525215005094649","0.005525215005094649"
"6250","26","26","26","0.8306","0.8306","0.8306","0.060999087323556904","0.060999087323556904","0.060999087323556904","0.9851","0.9851","0.9851","0.004972795585367015","0.004972795585367015","0.004972795585367015","26","26","26","0.9","0.9","0.9","0.043092399500181046","0.043092399500181046","0.043092399500181046","0.9867","0.9867","0.9867","0.005244167005617133","0.005244167005617133","0.005244167005617133","26","26","26","0.875","0.875","0.875","0.03882066593132918","0.03882066593132918","0.03882066593132918","0.9865","0.9865","0.9865","0.004208008189182146","0.004208008189182146","0.004208008189182146","26","26","26","0.878","0.878","0.878","0.03660713769209684","0.03660713769209684","0.03660713769209684","0.988","0.988","0.988","0.004058524308222699","0.004058524308222699","0.004058524308222699","26","26","26","0.8402","0.8402","0.8402","0.06694595811340771","0.06694595811340771","0.06694595811340771","0.9854","0.9854","0.9854","0.004676573851806154","0.004676573851806154","0.004676573851806154","26","26","26","0.8464","0.8464","0.8464","0.05915172914741564","0.05915172914741564","0.05915172914741564","0.9853","0.9853","0.9853","0.005111505917788418","0.005111505917788418","0.005111505917788418"
"7500","31","31","31","0.8737","0.8737","0.8737","0.04820968379112126","0.04820968379112126","0.04820968379112126","0.9881","0.9881","0.9881","0.004731328036214069","0.004731328036214069","0.004731328036214069","31","31","31","0.8604","0.8604","0.8604","0.04692621554681391","0.04692621554681391","0.04692621554681391","0.9868","0.9868","0.9868","0.004377781673590108","0.004377781673590108","0.004377781673590108","31","31","31","0.8063","0.8063","0.8063","0.06955377369270435","0.06955377369270435","0.06955377369270435","0.988","0.988","0.988","0.0037623962345051058","0.0037623962345051058","0.0037623962345051058","31","31","31","0.8191","0.8191","0.8191","0.08887555800281872","0.08887555800281872","0.08887555800281872","0.9842","0.9842","0.9842","0.006457626616160595","0.006457626616160595","0.006457626616160595","31","31","31","0.8412","0.8412","0.8412","0.05289782079212607","0.05289782079212607","0.05289782079212607","0.9798","0.9798","0.9798","0.006274970705586747","0.006274970705586747","0.006274970705586747","31","31","31","0.8686","0.8686","0.8686","0.04398956116920885","0.04398956116920885","0.04398956116920885","0.9864","0.9864","0.9864","0.004331996415302914","0.004331996415302914","0.004331996415302914"
"8750","36","36","36","0.8221","0.8221","0.8221","0.0731990036677672","0.0731990036677672","0.0731990036677672","0.9848","0.9848","0.9848","0.005301810925776495","0.005301810925776495","0.005301810925776495","36","36","36","0.8915","0.8915","0.8915","0.04139701254007091","0.04139701254007091","0.04139701254007091","0.9899","0.9899","0.9899","0.004259887932076604","0.004259887932076604","0.004259887932076604","36","36","36","0.7872","0.7872","0.7872","0.07554773865118614","0.07554773865118614","0.07554773865118614","0.9842","0.9842","0.9842","0.004940981347235718","0.004940981347235718","0.004940981347235718","36","36","36","0.8333","0.8333","0.8333","0.05205308735913128","0.05205308735913128","0.05205308735913128","0.9763","0.9763","0.9763","0.007763789776196796","0.007763789776196796","0.007763789776196796","36","36","36","0.8595","0.8595","0.8595","0.05245390257633123","0.05245390257633123","0.05245390257633123","0.9874","0.9874","0.9874","0.004028377544686241","0.004028377544686241","0.004028377544686241","36","36","36","0.8696","0.8696","0.8696","0.047411500732708285","0.047411500732708285","0.047411500732708285","0.9851","0.9851","0.9851","0.004604935929076779","0.004604935929076779","0.004604935929076779"
"10000","42","42","42","0.8729","0.8729","0.8729","0.04009406912932753","0.04009406912932753","0.04009406912932753","0.987","0.987","0.987","0.0037749967867595803","0.0037749967867595803","0.0037749967867595803","42","42","42","0.8509","0.8509","0.8509","0.05613876923271198","0.05613876923271198","0.05613876923271198","0.9851","0.9851","0.9851","0.005482863565292435","0.005482863565292435","0.005482863565292435","42","42","42","0.8044","0.8044","0.8044","0.08145911219046403","0.08145911219046403","0.08145911219046403","0.9867","0.9867","0.9867","0.004455816402325982","0.004455816402325982","0.004455816402325982","42","42","42","0.8623","0.8623","0.8623","0.04267770180285444","0.04267770180285444","0.04267770180285444","0.9855","0.9855","0.9855","0.004588316092597958","0.004588316092597958","0.004588316092597958","42","42","42","0.8297","0.8297","0.8297","0.07816499056547616","0.07816499056547616","0.07816499056547616","0.9881","0.9881","0.9881","0.004253448692128774","0.004253448692128774","0.004253448692128774","42","42","42","0.8972","0.8972","0.8972","0.03352430391120646","0.03352430391120646","0.03352430391120646","0.986","0.986","0.986","0.004759288096725142","0.004759288096725142","0.004759288096725142"
"11250","47","47","47","0.8619","0.8619","0.8619","0.04967599202838395","0.04967599202838395","0.04967599202838395","0.9873","0.9873","0.9873","0.0043994550278021105","0.0043994550278021105","0.0043994550278021105","47","47","47","0.8774","0.8774","0.8774","0.043063669935528535","0.043063669935528535","0.043063669935528535","0.9892","0.9892","0.9892","0.003938332241487708","0.003938332241487708","0.003938332241487708","47","47","47","0.7838","0.7838","0.7838","0.08690935915550228","0.08690935915550228","0.08690935915550228","0.9886","0.9886","0.9886","0.003838138566259049","0.003838138566259049","0.003838138566259049","47","47","47","0.8686","0.8686","0.8686","0.05211032439584342","0.05211032439584342","0.05211032439584342","0.9853","0.9853","0.9853","0.0050784753935675326","0.0050784753935675326","0.0050784753935675326","47","47","47","0.8599","0.8599","0.8599","0.057129798380685305","0.057129798380685305","0.057129798380685305","0.9875","0.9875","0.9875","0.004539453868641562","0.004539453868641562","0.004539453868641562","47","47","47","0.8393","0.8393","0.8393","0.05710089365367021","0.05710089365367021","0.05710089365367021","0.9867","0.9867","0.9867","0.0042046085708845595","0.0042046085708845595","0.0042046085708845595"
"12500","52","52","52","0.8567","0.8567","0.8567","0.05330188945376571","0.05330188945376571","0.05330188945376571","0.9893","0.9893","0.9893","0.003969618822275022","0.003969618822275022","0.003969618822275022","52","52","52","0.9184","0.9184","0.9184","0.026189913469698425","0.026189913469698425","0.026189913469698425","0.9897","0.9897","0.9897","0.00363507747221124","0.00363507747221124","0.00363507747221124","52","52","52","0.8069","0.8069","0.8069","0.06982686757889466","0.06982686757889466","0.06982686757889466","0.9856","0.9856","0.9856","0.004516219798335077","0.004516219798335077","0.004516219798335077","52","52","52","0.8803","0.8803","0.8803","0.04494011010274267","0.04494011010274267","0.04494011010274267","0.9884","0.9884","0.9884","0.003967947482642626","0.003967947482642626","0.003967947482642626","52","52","52","0.8486","0.8486","0.8486","0.06410340559700853","0.06410340559700853","0.06410340559700853","0.9883","0.9883","0.9883","0.00419183947453199","0.00419183947453199","0.00419183947453199","52","52","52","0.8543","0.8543","0.8543","0.050173703621176534","0.050173703621176534","0.050173703621176534","0.9864","0.9864","0.9864","0.004294274964486604","0.004294274964486604","0.004294274964486604"
